标题,朝代,作者,体裁,内容
禹玉牒辞,先秦,无名氏,古风,祝融司方发其英，沐日浴月百宝生。
衣铭,先秦,无名氏,古风,桑蚕苦，女工难，得新捐故后必寒。
垓下歌,秦,项羽,古风,力拔山兮气盖世，时不利兮骓不逝。骓不逝兮可奈何，虞兮虞兮奈若何。
和项王歌,秦,虞姬,古风,汉兵已略地，四方楚歌声。大王意气尽，贱妾何乐生。
诗,汉,阮瑀,古风,我行自凛秋，季冬乃来归。置酒高堂上，友朋集光辉。念当复离别，涉路险且夷。思虑益惆怅，泪下沾裳衣。
诗,汉,阮瑀,古风,四皓隐南岳，老莱窜河滨。颜回乐陋巷，许由安贱贫。伯夷饿首阳，天下归其仁。何患处贫苦，但当守明真。
兰亭诗二首 其一 ,魏晋,王羲之,四言诗,代谢鳞次，忽焉以周。欣此暮春，和气载柔。咏彼舞雩，异世同流。迤携齐契，散怀一丘。
答许询诗 其二 ,魏晋,王羲之,句,争先非吾事，静照在忘求。
游仙诗,魏晋,王彪之,古风,远游绝尘雾，轻举观沧溟。蓬七阴倒景，昆崙罩曾城。
猛虎行,南北朝,孔欣,乐府曲辞,饥不食邪蒿莱。倦不息无终里。邪蒿乖素尚。无终丧若始。
羁谣,南北朝,孔仲智,古风,芳杜觞春酒，仿佛伤山时。徒歌不成乐，空以羁自悲。羁悲怀土心，遽复还山路。迨及春复时，无使春光暮。
王昭君,隋,上官仪,五言律诗,玉关春色晚，金河路几千。琴悲桂条上，笛怨柳花前。雾掩临妆月，风惊入鬓蝉。缄书待还使，泪尽白云天。
咏雪应诏,隋,上官仪,五言律诗,禁园凝朔气，瑞雪掩晨曦。花明栖凤阁，珠散影娥池。飘素迎歌上，翻光向舞移。幸因千里映，还绕万年枝。
食饱,唐,白居易,五言律诗,食饱拂枕卧，睡足起闲吟。浅酌一杯酒，缓弹数弄琴。既可畅情性，亦足傲光阴。谁知利名尽，无复长安心。
秋江送客,唐,白居易,五言律诗,秋鸿次第过，哀猿朝夕闻。是日孤舟客，此地亦离群。濛濛润衣雨，漠漠冒帆云。不醉浔阳酒，烟波愁杀人。
鱼 其二 ,宋,丁谓,古风,江湖各相忘，鱼虾同一波，乐哉乐哉。莫贪钓上饵，去□鼎中羹，戎哉戎哉。
凤栖梧/蝶恋花 其一 ,宋,丁谓,词,十二层楼春色早。三殿笙歌，九陌风光好。堤柳岸花连复道。玉梯相对开蓬岛。莺啭乔林鱼在藻。太液微波，绿斗王孙草。南阙万人瞻羽葆。后天祝圣天难老。
大堤曲,元,雅琥,古风,郎家大堤上，妾住横塘曲。年少结新欢，离别岂所欲。日日望郎归，门前春草绿。嫁时双明珠，系妾红罗襦。纂制远游履，愿谐比目鱼。路长不可致，搔首空踟蹰。
赋得月漉漉送方叔高作尉江南,元,雅琥,古风,月漉漉，泥在水。送君归，几千里。泥在水，月不明。执君别，难为情。漉漉见月，水深泥多。飘飘游子，岁暮如何？洞庭霜下，木落无波。白云在望，鼓枻讴歌。念子之来，携书一束。兹焉言归，荣养以禄。雄剑在匣，弨弓在箙。驰骋千里，毋尔局蹙。
菩萨蛮 赠友人,明,陈世祥,词,句拈本色求圆净。柳周香艳词天性。佳句引传觞。秦欧自压黄。选花黄白紫。馀色何堪此。更要索从前。挑灯共不眠。
菩萨蛮 幽晤,明,陈世祥,词,上弦月落黄昏院。惊人乍似双飞燕。已是出来难。疏屏又夜寒。拼得相思各。莫更人前谑。欲语转娇睛。知卿梦里曾。
